gene_name,uniprot,hgnc_symbol,ensembl
COL8A2,P25067,COL8A2,ENSG00000171812
COL9A1,P20849,COL9A1,ENSG00000112280
COL9A2,Q14055,COL9A2,ENSG00000049089
COL9A3,Q14050,COL9A3,ENSG00000092758
COLEC12,Q5KU26,COLEC12,ENSG00000158270
COPA,P53621,COPA,ENSG00000122218
CORT,O00230,CORT,ENSG00000241563
CR2,P20023,CR2,ENSG00000117322
CRABP2,P29373,CRABP2,ENSG00000143320
CRH,P06850,CRH,ENSG00000147571
CRHR1,P34998,CRHR1,ENSG00000120088
CRHR1,P34998,CRHR1,ENSG00000278232
CRHR1,P34998,CRHR1,ENSG00000276191
CRHR2,Q13324,CRHR2,ENSG00000106113
CRLF2,Q9HC73,CRLF2,ENSG00000205755
CRTAM,O95727,CRTAM,ENSG00000109943
CSF1,P09603,CSF1,ENSG00000184371
CSF1R,P07333,CSF1R,ENSG00000182578
CSF2,P04141,CSF2,ENSG00000164400
CSF2RA,P15509,CSF2RA,ENSG00000198223
CSF2RB,P32927,CSF2RB,ENSG00000100368
CSF3,P09919,CSF3,ENSG00000108342
CSF3R,Q99062,CSF3R,ENSG00000119535
CSHL1,Q14406,CSHL1,ENSG00000204414
CSPG4,Q6UVK1,CSPG4,ENSG00000173546
CTLA4,P16410,CTLA4,ENSG00000163599
CUBN,O60494,CUBN,ENSG00000107611
CX3CL1,P78423,CX3CL1,ENSG00000006210
CX3CR1,P49238,CX3CR1,ENSG00000168329
CXADR,P78310,CXADR,ENSG00000154639
CXCL1,P09341,CXCL1,ENSG00000163739
CXCL10,P02778,CXCL10,ENSG00000169245
CXCL11,O14625,CXCL11,ENSG00000169248
CXCL12,P48061,CXCL12,ENSG00000107562
CXCL13,O43927,CXCL13,ENSG00000156234
CXCL14,O95715,CXCL14,ENSG00000145824
CXCL16,Q9H2A7,CXCL16,ENSG00000161921
CXCL17,Q6UXB2,CXCL17,ENSG00000189377
CXCL2,P19875,CXCL2,ENSG00000081041
CXCL3,P19876,CXCL3,ENSG00000163734
CXCL5,P42830,CXCL5,ENSG00000163735
CXCL6,P80162,CXCL6,ENSG00000124875
CXCL8,P10145,CXCL8,ENSG00000169429
CXCL9,Q07325,CXCL9,ENSG00000138755
CXCR1,P25024,CXCR1,ENSG00000163464
CXCR2,P25025,CXCR2,ENSG00000180871
CXCR3,P49682,CXCR3,ENSG00000186810
CXCR4,P61073,CXCR4,ENSG00000121966
CXCR5,P32302,CXCR5,ENSG00000160683
CXCR6,O00574,CXCR6,ENSG00000172215
CYP11A1,P05108,CYP11A1,ENSG00000140459
CYP11B1,P15538,CYP11B1,ENSG00000160882
CYP11B2,P19099,CYP11B2,ENSG00000179142
CYP17A1,P05093,CYP17A1,ENSG00000148795
CYP19A1,P11511,CYP19A1,ENSG00000137869
CYP21A2,P08686,CYP21A2,ENSG00000232414
CYP21A2,P08686,CYP21A2,ENSG00000198457
CYP21A2,P08686,CYP21A2,ENSG00000206338
CYP21A2,P08686,CYP21A2,ENSG00000231852
CYP21A2,P08686,CYP21A2,ENSG00000235134
CYP21A2,P08686,CYP21A2,ENSG00000233151
CYP27B1,O15528,CYP27B1,ENSG00000111012
CYP3A4,P08684,CYP3A4,ENSG00000160868
CYSLTR1,Q9Y271,CYSLTR1,ENSG00000173198
CYSLTR2,Q9NS75,CYSLTR2,ENSG00000152207
DAG1,Q14118,DAG1,ENSG00000173402
DAGLA,Q9Y4D2,DAGLA,ENSG00000134780
DAGLB,Q8NCG7,DAGLB,ENSG00000164535
